32816,28764,27085,23000,22000,21000,20000
40000,30000,26800,23000,22000,21000,20000
43903,39896,35217,31791,30733,28479,26336
30000,28000,24500,23000,21509,20000,19000
32438,26626,25645,22252,20864,19957,17953
40398,31684,28564,25939,23759,22667,21635
31248,27337,24956,21657,20536,19418,18101
27600,23400,21500,18775,17500,15500,14400
26170,24918,24307,21800,18500,17518,16165
33189,29729,26400,24477,21888,20792,18547
36706,30090,27213,26544,24536,23174,21391
30018,27235,23612,20788,18719,18057,16728
38243,32005,29787,28402,24806,23858,22780
31279,27644,26748,23982,23107,20962,20033
40082,31960,29156,27328,25568,24030,22419
34869,28374,27417,25850,23329,21945,19502
40817,32753,29535,26434,24144,22994,22016
33459,30512,26795,25230,22989,21244,19182
39301,31142,29693,28085,25000,23696,21559
27248,23943,22890,20903,20217,19410,18243
27926,24179,21425,20207,18431,17741,17343
27926,24179,21425,20207,18431,17741,17343
30200,28500,24000,23000,22000,20000,19000
27711,25600,22300,20500,18300,17000,15900
36863,30669,28038,26865,25072,23438,22204
34424,29201,26620,23387,20834,19394,17248
32267,28530,27276,25589,23946,21871,21390
39077,32905,30287,29303,25294,24046,23198
41281,32565,30487,28593,25489,25489,23962
34005,31124,27701,25901,23050,21345,19508
37597,32028,28627,27107,25534,24180,22460
35075,29404,26906,23724,21014,19704,18251
32906,30228,27582,26091,24558,23746,22785
30930,28129,26030,21193,20079,19023,18245
40183,34765,31651,30218,27019,24441,23203
35822,29702,27674,25401,22031,20493,19193
33382,31083,27733,26387,25190,24464,23372
29837,26569,24241,23471,21524,19983,18716
41698,33258,31034,28979,26404,25200,23821
37943,32993,28808,27145,26046,24320,23485
33706,32143,29029,26957,24062,22151,20009
40182,35545,33099,31231,27778,25091,23863
31964,26661,24066,22389,20627,19937,18849
35466,30005,28165,25801,22043,20632,19760
31036,28813,25414,24197,23021,21478,20231
42311,34389,32787,30387,28410,26774,24773
34130,28911,26027,23441,22684,20612,19755
42029,37705,35130,31999,29850,25931,24257
36448,32122,30217,27025,24210,22362,20709
44554,41539,37689,33808,32733,30274,27158
32437,29900,28508,26881,24243,23187,19362
32277,30901,26782,25766,24086,22444,20723
43316,40741,36894,34872,31476,28916,27444
42898,35769,33745,31011,29729,28142,25740
43987,41220,38080,34743,31161,29825,27799
34609,30824,28086,24737,23676,21802,20797
44029,41805,38993,35063,31694,30237,28153
44034,40277,38091,37160,31364,27436,26391
30700,26500,24300,22600,22000,20000,20000
31478,29361,28125,25713,22551,20765,19045
43986,42722,39376,35136,32225,30203,28542
38452,34547,32680,29233,26658,23278,21470
33606,29987,28726,26880,26124,23856,22900
38091,35275,34132,29630,26891,25251,23991
38086,35507,34375,31745,29629,27055,25513
38700,33552,32766,29500,24834,23011,22230
44087,42545,39610,36181,33294,30455,28368
38760,34910,33446,30261,27420,23476,22672
33995,30518,29872,27203,26626,23676,23169
34075,32074,27915,26315,24784,23458,22382
43748,37844,34935,32311,30351,28771,26082
44467,43367,40252,37287,33248,31040,29494
40002,35258,33548,30424,27420,24407,22817
35053,32626,29231,25624,24312,22452,21378
31929,29535,28347,25962,23370,21794,20212
33839,30968,30058,27735,26509,24830,23779
44100,41000,38100,38000,35548,28800,27000
44602,44093,40832,38676,36101,32766,30182
38607,36017,34297,30268,27035,23801,22805
35188,31036,30168,27838,26825,25105,23908
44684,43524,40425,37125,35958,32539,29381
35686,31548,30634,28233,27429,25467,24356
35982,33283,28794,27397,26385,24796,23298
43882,38023,35283,33762,31012,29259,27102
35619,33137,29730,26464,24985,24018,23060
32972,30769,29675,27900,26028,25181,24597
45682,44985,42869,39783,37905,34917,32769
32743,31036,30223,27277,25658,23067,21269
